title,datestamp,content_html,title_welsh,datestamp_welsh,content_html_welsh
COVID-19 vaccine development,2020-11-11T00:00:00Z,"<p>The <a href=""https://gov.wales/wales-chief-medical-officer-welcomes-encouraging-vaccine-news-urges-us-all-continue-stay-safe"">Chief Medical Officer for Wales</a> welcomes the news that a COVID-19 vaccine could be ready by the end of 2020 but warned “that these are very early days”. Dr Frank Atherton said it could be towards the end of 2021 before a vaccine was rolled out fully to all the eligible population and in the meantime it is essential that everyone continues to observe social distancing, limit meeting in indoor spaces, wear face coverings where appropriate and practice good hand and cough hygiene.</p>",Datblygu brechlyn COVID-19,2020-11-11T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/prif-swyddog-meddygol-cymru-yn-croesawur-newyddion-calonogol-am-frechlyn-ond-yn-annog-pob-un-ohonom"">Prif Swyddog Meddygol Cymru</a> yn croesawu’r newyddion y gallai brechlyn COVID-19 fod yn barod erbyn diwedd 2020 ond rhybuddiodd “mai dyddiau cynnar iawn yw’r rhain”. Dywedodd Dr Frank Atherton y gallai fod tua diwedd 2021 cyn cyflwyno brechlyn yn llawn i’r holl boblogaeth gymwys, a’i bod yn hanfodol yn y cyfamser i bawb barhau i gadw pellter cymdeithasol, cwrdd mewn lleoedd dan do cyn lleied â phosibl, gwisgo gorchuddion wyneb lle bo hynny’n briodol a chadw at arferion hylendid da o ran peswch a golchi dwylo.</p>"
Students travelling home for Christmas,2020-11-11T00:00:00Z,"<p><a href=""https://gov.wales/written-statement-supporting-students-travel-home-safely-ahead-christmas"">Minister for Education, Kirsty Williams, announces</a> that two main measures have been agreed to enable the university sector to manage the movement of students at the end of term as safely as possible. Firstly, universities will conclude the majority of in-person teaching in the week leading up to 8 December 2020. Students who are planning to travel are encouraged to make arrangements to move from term time accommodation by 9 December at the latest. Secondly, students who wish to return home at the end of term will be asked to follow a simple set of guidelines. This will mean every student must make responsible choices to protect other people, including the option to take an asymptomatic lateral flow test.</p>",Myfyrwyr yn teithio adref ar gyfer y Nadolig,2020-11-11T00:00:00Z,"<p><a href=""https://llyw.cymru/datganiad-ysgrifenedig-cefnogi-myfyrwyr-i-deithio-adref-yn-ddiogel-cyn-y-gwyliau"">Y Gweinidog Addysg, Kirsty Williams, yn cyhoeddi</a> bod dau brif fesur wedi’u cytuno i alluogi’r sector prifysgolion i reoli symudiad myfyrwyr ar ddiwedd y tymor mor ddiogel â phosibl. Yn gyntaf, bydd prifysgolion yn gorffen mwyafrif yr addysgu wyneb yn wyneb yn yr wythnos yn arwain at 8 Rhagfyr 2020. Caiff myfyrwyr sy’n bwriadu teithio eu hannog i wneud trefniadau i symud o’u llety yn ystod y tymor erbyn 9 Rhagfyr fan bellaf. Yn ail, bydd gofyn i fyfyrwyr sy’n dymuno dychwelyd adref ar ddiwedd y tymor ddilyn cyfres syml o ganllawiau. Bydd hyn yn golygu bod yn rhaid i bob myfyriwr wneud dewisiadau cyfrifol i amddiffyn pobl eraill, gan gynnwys yr opsiwn i sefyll prawf llif unffordd asymptomatig.</p>"
Exams cancelled for 2021,2020-11-10T00:00:00Z,"<p>The Education Minister, <a href=""https://gov.wales/written-statement-approach-general-qualifications-2021"">Kirsty Williams, announces</a> that there will no GCSE, AS and A Level qualification exams in 2021. The Minister says “the primary reason for my decision is down to fairness; the time learners will spend in schools and colleges will vary hugely, and in this situation, it is impossible to guarantee a level playing field for exams to take place”.</p>",Canslo arholiadau 2021,2020-11-10T00:00:00Z,"<p>Y Gweinidog Addysg, <a href=""https://llyw.cymru/datganiad-ysgrifenedig-dull-cymru-o-ymdrin-chymwysterau-yn-2021"">Kirsty Williams, yn cyhoeddi</a> na fydd arholiadau TGAU, Safon Uwch Gyfrannol a Safon Uwch yn cael eu cynnal yn 2021. Dywedodd y Gweinidog “y prif reswm dros fy mhenderfyniad yw tegwch; bydd yr amser y bydd dysgwyr yn ei dreulio mewn ysgolion a cholegau yn amrywio’n aruthrol ac, yn y sefyllfa hon, mae’n amhosibl gwarantu chwarae teg i gynnal arholiadau”.</p>"
Welsh firebreak ends,2020-11-09T00:00:00Z,"<p>The firebreak lockdown in Wales comes to an end and a new set of national measures come into force. <a href=""https://gov.wales/coronavirus-regulations-guidance"">Welsh Government guidance</a> describes the rules for different settings and activities, with a key message to ‘think about what is the most sensible thing for you to do to protect your family, friends and your community, rather than thinking primarily about what you are allowed to do’.</p>",Cyfnod atal byr Cymru yn dod i ben,2020-11-09T00:00:00Z,"<p>Daw’r cyfnod atal byr i ben yng Nghymru a daw cyfres newydd o fesurau cenedlaethol i rym. Mae <a href=""https://llyw.cymru/rheoliadau-coronafeirws-canllawiau"">canllawiau Llywodraeth Cymru</a> yn disgrifio’r rheolau ar gyfer gwahanol leoliadau a gweithgareddau, gyda neges allweddol i annog pobl i ‘feddwl am beth sy’n synhwyrol i’w wneud i ddiogelu eich teulu, eich ffrindiau a’ch cymuned yn hytrach na meddwl am yr hyn a ganiateir’.</p>"
Furlough scheme to be extended,2020-11-05T00:00:00Z,"<p><a href=""https://www.bbc.co.uk/news/business-54824120"">UK Chancellor, Rishi Sunak, announces</a> that the furlough scheme will be extended across the UK until the end of March 2021. The scheme will pay up to 80 per cent of a person’s wage up to £2,500 a month. The UK Government will review the policy in January 2021. <a href=""https://gov.wales/finance-minister-responds-to-news-of-furlough-extension"">Wales’ Finance Minister, Rebecca Evans MS</a>, welcomes the extension, but urges the Chancellor to backdate support for Welsh businesses and workers for the entirety of Wales’ 17 day firebreak.</p>",Ymestyn y cynllun ffyrlo,2020-11-05T00:00:00Z,"<p>Mae <a href=""https://www.bbc.co.uk/news/business-54824120"">Rishi Sunak, Canghellor y DU, yn cyhoeddi</a> y bydd y cynllun ffyrlo yn cael ei ymestyn ledled y DU hyd at ddiwedd mis Mawrth 2021. Bydd y cynllun yn talu hyd at 80 y cant o gyflog pobl, hyd at £2,500 y mis. Bydd Llywodraeth y DU yn adolygu’r polisi ym mis Ionawr 2021. Mae <a href=""https://llyw.cymru/y-gweinidog-cyllid-yn-ymateb-i-newyddion-am-estyniad-ir-cynllun-ffyrlo"">Rebecca Evans AS, Gweinidog Cyllid Cymru</a>, yn croesawu’r estyniad, ond mae’n annog y Canghellor i ôl-ddyddio’r cymorth i fusnesau a gweithwyr Cymru ar gyfer holl gyfnod atal 17 diwrnod Cymru.</p>"
England enters lockdown,2020-11-05T00:00:00Z,"<p><a href=""https://www.gov.uk/guidance/new-national-restrictions-from-5-november"">National restrictions come into force in England</a> for a period of four weeks up to 2 December 2020. The Welsh Government has issued a <a href=""https://gov.wales/reminder-cross-border-travel-wales-firebreak-ends"">reminder on cross-border travel</a>. Elsewhere in the UK: a five-tiered system of <a href=""https://www.gov.scot/publications/coronavirus-covid-19-protection-levels/"">local protection levels is in place in Scotland</a> this was introduced on the 2 November 2020); <a href=""https://www.nidirect.gov.uk/articles/coronavirus-covid-19-regulations-guidance-what-restrictions-mean-you"">national restrictions in Northern Ireland</a> were introduced on 16 October 2020 for a four week period.</p>",Cyfyngiadau symud yn dod i rym yn Lloegr,2020-11-05T00:00:00Z,"<p><a href=""https://www.gov.uk/guidance/new-national-restrictions-from-5-november"">Daw cyfyngiadau cenedlaethol i rym yn Lloegr</a> am gyfnod o bedair wythnos hyd at 2 Rhagfyr 2020. Mae Llywodraeth Cymru wedi cyhoeddi <a href=""https://llyw.cymru/nodyn-i-atgoffa-pawb-or-rheolau-ar-deithio-ar-draws-y-ffin-wrth-ir-cyfnod-atal-ddod-i-ben?_ga=2.244745733.1226585412.1604915416-1894943973.1582555554"">nodyn i atgoffa pawb o’r rheolau ar deithio ar draws y ffin</a>. Mewn mannau eraill yn y DU: mae system bum haen o <a href=""https://www.gov.scot/publications/coronavirus-covid-19-protection-levels/"">lefelau diogelu lleol ar waith yn yr Alban</a> a gyflwynwyd ar 2 Tachwedd 2020; cyflwynwyd <a href=""https://www.nidirect.gov.uk/articles/coronavirus-covid-19-regulations-guidance-what-restrictions-mean-you"">cyfyngiadau cenedlaethol yng Ngogledd Iwerddon</a> ar 16 Hydref 2020 am gyfnod o bedair wythnos.</p>"
Funding to support vulnerable mental health service users,2020-11-04T00:00:00Z,"<p><a href=""https://gov.wales/mental-health-minister-pledges-ps3million-helping-hand-most-vulnerable-pandemic"">Minister for Mental Health and Wellbeing, Eluned Morgan, pledges</a> additional funding of nearly £3 million to support some of the most vulnerable mental health service users in Wales during the pandemic. Support will be available for those looking for work, permanent accommodation, or who may be struggling with mental health or substance misuse problems. ‘The additional funding will provide early, targeted support, for the most vulnerable individuals in a preventative capacity to reduce the escalation of often complex needs’.</p>",Cyllid i gefnogi defnyddwyr gwasanaethau iechyd meddwl sy’n agored i niwed,2020-11-04T00:00:00Z,"<p><a href=""https://llyw.cymru/y-gweinidog-iechyd-meddwl-yn-addo-ps3-miliwn-i-roi-help-llaw-ir-bobl-fwyaf-agored-i-niwed-yn-ystod?_ga=2.239964035.1226585412.1604915416-1894943973.1582555554"">Mae Eluned Morgan, y Gweinidog Iechyd Meddwl a Llesiant, yn addo</a> rhoi cyllid ychwanegol o bron i £3 miliwn i gefnogi rhai o’r defnyddwyr gwasanaethau iechyd meddwl mwyaf agored i niwed yng Nghymru yn ystod y pandemig. Bydd cymorth ar gael i’r rhai sy’n chwilio am waith neu lety parhaol, neu a allai fod yn cael trafferth gyda phroblemau iechyd meddwl neu gamddefnyddio sylweddau. ‘Bydd y cyllid ychwanegol yn darparu cymorth cynnar wedi’i dargedu, ar gyfer yr unigolion mwyaf agored i niwed mewn ffordd ataliol er mwyn atal anghenion, sy’n aml yn rhai cymhleth, rhag gwaethygu’.</p>"
National measures to follow Wales’ firebreak,2020-11-02T00:00:00Z,"<p>The <a href=""https://gov.wales/new-national-covid-measures-for-wales-first-minister-says-people-not-rules-are-key-to-our-response"">First Minster announces</a> that from 9 November a new set of national measures will replace the firebreak. These include: two households being able to form an extended household (or bubble); up to 15 people can take part in organised events indoors and up to 30 people can outdoors; and all premises that were closed can reopen.</p>",Mesurau cenedlaethol i ddilyn cyfnod atal byr Cymru,2020-11-02T00:00:00Z,"<p>Y <a href=""https://gov.wales/new-national-covid-measures-for-wales-first-minister-says-people-not-rules-are-key-to-our-response"">Prif Weinidog yn cyhoeddi</a> y bydd cyfres newydd o fesurau cenedlaethol yn cymryd lle’r cyfnod atal byr, o 9 Tachwedd ymlaen. Mae’r rhain yn cynnwys: dwy aelwyd yn cael ffurfio aelwyd estynedig (neu swigen); gall hyd at 15 o bobl gymryd rhan mewn digwyddiadau wedi’u trefnu y tu mewn a gall hyd at 30 o bobl wneud hynny y tu allan; a gall yr holl safleoedd a oedd ar gau ail-agor.</p>"
England to enter a national lockdown,2020-10-31T00:00:00Z,"<p>The <a href=""https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-31-october-2020"">UK Prime Minister announces</a> new national restrictions for England from 5 November 2020.</p>",Cyfyngiadau symud cenedlaethol i’w cyflwyno yn Lloegr,2020-10-31T00:00:00Z,"<p>Mae <a href=""https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-31-october-2020""><strong>Prif Weinidog y DU yn cyhoeddi</strong></a> cyfyngiadau cenedlaethol newydd ar gyfer Lloegr o 5 Tachwedd 2020.</p>"
Help for people self-isolating,2020-10-30T00:00:00Z,"<p>The Welsh Government announces <a href=""https://gov.wales/two-schemes-help-people-self-isolate-be-introduced-wales"">two new schemes of financial support for people who need to self-isolate</a> due a positive coronavirus test result or who are asked to do so by NHS Wales Test, Trace, Protect. Those on low incomes can apply for a £500 payment if they’re unable to work from home and would lose income due to self-isolating. There is also a new <a href=""https://gov.wales/covid-19-statutory-sick-pay-enhancement-scheme"">statutory sick pay enhancement scheme</a> for social care staff to increase the statutory sick pay to their normal wages if they need to self-isolate.</p>",Help i bobl sy’n hunanynysu,2020-10-30T00:00:00Z,"<p>Mae Llywodraeth Cymru yn cyhoeddi <a href=""https://llyw.cymru/cyflwyno-dau-gynllun-yng-nghymru-i-helpu-pobl-i-hunanynysu""><strong>dau gynllun cymorth ariannol newydd i bobl y mae angen iddynt hunanynysu</strong></a> oherwydd canlyniad positif i brawf coronafeirws neu oherwydd y gofynnir iddo wneud hynny gan system Profi, Olrhain, Diogelu GIG Cymru. Gall y rhai sydd ar incwm isel wneud cais am daliad £500 os na allant weithio gartref a byddant yn colli incwm oherwydd hunanynysu. Hefyd, mae <a href=""https://llyw.cymru/cynllun-ychwanegiad-dal-salwch-statudol-ar-gyfer-covid-19""><strong>cynllun ychwanegiad at dâl salwch statudol newydd</strong></a> i staff gofal cymdeithasol gynyddu’r tâl salwch statudol i’w cyflogau arferol os oes angen iddynt hunanynysu.</p>"
Essential and non-essential items,2020-10-29T00:00:00Z,"<p>The Welsh Government has updated its <a href=""https://gov.wales/coronavirus-firebreak-frequently-asked-questions#section-53261"">frequently asked questions</a> on the firebreak to clarify the rules around the purchase of essential and non-essential items during this period. A <a href=""https://gov.wales/closure-businesses-and-premises-coronavirus-covid-19"">list of items that supermarkets and other food and drink retailers are allowed to sell</a> is published.</p>",Eitemau hanfodol ac eitemau nad ydynt yn hanfodol,2020-10-29T00:00:00Z,"<p>Mae Llywodraeth Cymru wedi diweddaru ei <a href=""https://llyw.cymru/cyfnod-atal-y-coronafeirws-cwestiynau-cyffredin#section-53261""><strong>chwestiynau cyffredin</strong></a> ar y cyfnod atal byr i egluro’r rheolau ynghylch prynu eitemau hanfodol ac eitemau nad ydynt yn hanfodol yn ystod y cyfnod hwn. Mae <a href=""https://llyw.cymru/cau-busnesau-ac-adeiladau-coronafeirws-covid-19""><strong>rhestr o eitemau y caniateir i archfarchnadoedd a manwerthwyr bwyd a diod eraill eu gwerthu</strong></a> yn cael ei chyhoeddi.</p>"
Support for vulnerable families and children,2020-10-29T00:00:00Z,"<p><a href=""https://gov.wales/support-vulnerable-families-and-children-during-pandemic"">Deputy Minister for Health and Social Services, Julie Morgan, announces</a> a £12.5m package of funding to support vulnerable children and families. It will support a range of services for children and families whose lives have been affected by the ongoing coronavirus pandemic. The funding is part of the Welsh Government’s Covid-19 Reconstruction: Challenges and Priorities agenda.</p>",Cymorth i deuluoedd a phlant sy’n agored i niwed,2020-10-29T00:00:00Z,"<p>Mae <a href=""https://llyw.cymru/gefnogi-teuluoedd-phlant-agored-i-niwed-yn-ystod-y-pandemig""><strong>Julie Morgan</strong><strong>,</strong><strong> y Dirprwy Weinidog Iechyd a Gwasanaethau Cymdeithasol, yn cyhoeddi</strong></a> pecyn cyllid gwerth £12.5m i gefnogi plant a theuluoedd sy’n agored i niwed. Bydd yn cefnogi ystod o wasanaethau i blant a theuluoedd y mae pandemig parhaus y coronafeirws wedi effeithio ar eu bywydau. Mae’r cyllid yn rhan o agenda Llywodraeth Cymru, sef Ail-greu ar ôl COVID-19: Yr Heriau a’r Blaenoriaethau.</p>"
Firebreak begins,2020-10-22T23:00:00Z,"<p>The firebreak begins at 6pm when national restrictions will come into effect until the end of the day on 8 November 2020. The Welsh Government has published <a href=""https://gov.wales/coronavirus-firebreak-frequently-asked-questions"">frequently asked questions for the firebreak</a> and you can <a href=""https://seneddresearch.blog/2020/10/23/coronavirus-fire-break/"">read our blog post</a> for more information on what led to it.</p>",Y cyfnod atal byr yn dechrau,2020-10-22T23:00:00Z,"<p>Y cyfnod atal byr yn dechrau am 18:00, pan ddaw cyfyngiadau cenedlaethol i rym tan 8 Tachwedd 2020 (hynny yw, tan ddiwedd y diwrnod hwnnw). Mae Llywodraeth Cymru wedi cyhoeddi <a href=""https://llyw.cymru/cyfnod-atal-y-coronafeirws-cwestiynau-cyffredin"">cwestiynau cyffredin ar gyfer y cyfnod atal byr,</a> a gallwch <a href=""https://seneddymchwil.blog/2020/10/23/y-coronafeirws-y-cyfnod-atal-byr/"">ddarllen ein blog</a> i gael mwy o wybodaeth am yr hyn a arweiniodd ato.</p>"
